sku,url,tu_nombre_seller,nombre_producto,sku_patish,vgc
1086969650,https://www.liverpool.com.mx/tienda/pdp/producto/1100460749?skuid=1086969650,PATISH,Consola Portátil Nintendo Switch Lite 32 GB,4201089-Turquesa,1100460749
1106007434,https://www.liverpool.com.mx/tienda/pdp/producto/1100460749?skuid=1106007434,PATISH,Consola pórtatil Nintendo Switch de 32 GB edición Stand alone,4201091-Azul,1100460749
1129961194,https://www.liverpool.com.mx/tienda/pdp/producto/9951092281?skuid=1129961194,PATISH,Apple iPhone 13 6.1 pulgadas Super Retina XDR Reacondicionado,4201811-Iphone13128GbVerde,9951092281
1158253433,https://www.liverpool.com.mx/tienda/pdp/producto/99972890982?skuid=1158253433,PATISH,Apple iPhone 15 6.1 pulgadas Super Retina XDR Reacondicionado,Eliminado-1,99972890982
1148768966,https://www.liverpool.com.mx/tienda/pdp/producto/99967267976?skuid=1148768966,PATISH,Samsung galaxy a25 super amoled 6.5 pulgadas nuevo,4201615,99967267976
1143976218,https://www.liverpool.com.mx/tienda/pdp/producto/1143976168?skuid=1143976218,PATISH,Samsung Galaxy S23 Fe Dynamic AMOLED 2X 6.4 pulgadas Desbloqueado,Eliminado-12,1143976168
1158510312,https://www.liverpool.com.mx/tienda/pdp/producto/1158510312?skuid=1158510312,PATISH,Motorola Moto G14 LCD IPS 6.5 pulgadas,4201606,
1097040776,https://www.liverpool.com.mx/tienda/pdp/producto/1097040776?skuid=1097040776,PATISH,Telefono Inalambrico Panasonic  KX-TGF352-C 2 Extensiones Monitor de Bebe Black ( Reacondicionado Certificado ),4202278,
1159082969,https://www.liverpool.com.mx/tienda/pdp/producto/1159082969?skuid=1159082969,PATISH,Motorola Motorola Edge 30 AMOLED 6.5 pulgadas,4201703_4200087,
1159082985,https://www.liverpool.com.mx/tienda/pdp/producto/99973452115?skuid=1159082985,PATISH,Motorola Edge 40 Neo POLED 6.5 pulgadas,4201603_4200087,99973452115
1159082993,https://www.liverpool.com.mx/tienda/pdp/producto/99973452115?skuid=1159082993,PATISH,Motorola Edge 40 Neo POLED 6.5 pulgadas,Eliminado-56,99973452115
1159082977,https://www.liverpool.com.mx/tienda/pdp/producto/99973452115?skuid=1159082977,PATISH,Motorola Edge 40 Neo POLED 6.5 pulgadas,4201602_4200087,99973452115
1159083001,https://www.liverpool.com.mx/tienda/pdp/producto/1159083001?skuid=1159083001,PATISH,Motorola Moto Razr 40 AMOLED 6.9 pulgadas,4201619_4200087,
1159079593,https://www.liverpool.com.mx/tienda/pdp/producto/1159079593?skuid=1159079593,PATISH,Laptop Asus X1404Z 14 pulgadas Full HD Intel Core i3 Intel Iris XE 8 GB RAM 128 GB SSD,4201623,
1133617031,https://www.liverpool.com.mx/tienda/pdp/producto/9955420959?skuid=1133617031,PATISH,Motorola Moto G62 5G LCD IPS 6.5 pulgadas,4201971-,9955420959
1159414830,https://www.liverpool.com.mx/tienda/pdp/producto/99973659428?skuid=1159414830,PATISH,Apple iphone 12 mini oled 5.4 pulgadas reacondicionado,4201600-Iphone12Mini64GbAzul,99973659428
1159414848,https://www.liverpool.com.mx/tienda/pdp/producto/99973659428?skuid=1159414848,PATISH,Apple iphone 12 mini oled 5.4 pulgadas reacondicionado,4201597-Iphone12Mini64GbRojo,99973659428
1159414864,https://www.liverpool.com.mx/tienda/pdp/producto/99973659428?skuid=1159414864,PATISH,Apple iphone 12 mini oled 5.4 pulgadas reacondicionado,4201598,99973659428
1159414856,https://www.liverpool.com.mx/tienda/pdp/producto/99973659428?skuid=1159414856,PATISH,Apple iphone 12 mini oled 5.4 pulgadas reacondicionado,4201629,99973659428
